,type,speaker,content,side,icon,condition,condition_setting
32,chat,คุณ,นั่นแหละชื่อผม,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
33,info,,ปัง!,,,delay,
34,chat,เหนือ,หลบเร็ว!,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,delay,0
35,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3%201.png,,,delay,
36,info,,ทั้งสองรีบวิ่งไปหลบในวิหาร,,,delay,0
37,chat,เหนือ,นายโอเคไหม?,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,pressed,
38,chat,คุณ,มีคนมา หลบเร็ว  โอ๊ย!,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
39,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/1%20-%20%E0%B9%82%E0%B8%94%E0%B8%99%E0%B8%95%E0%B8%B5.jpg,,,delay,
40,info,,บางอย่างกระแทกเข้าที่ท้ายทอยของคุณอย่างรุนแรง ยิ้มมุมปากของใครบางคน คือภาพสุดท้ายที่คุณมองเห็นรางๆก่อนจะสลบไป...,,,pressed,
41,chat,คุณ,อือ ปวดหัวจัง…,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
42,info,,คุณตื่นขึ้นมา โดยถูกมัดอยู่กับเสาขนาดใหญ่,,,pressed,
43,chat,คุณ,พวกกบฎ!,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
44,chat,กบฎ,อ้าว ตื่นแล้วเหรอ เครื่อง TMC ของคุณ ผมขอไปนะ,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%84%E0%B8%99.png,delay,
45,chat,กบฎ,รับไว้ ไอ้หน้าใหม่ ถึงเวลาที่พวกเราจะเป็นอิสระเเล้ว,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%84%E0%B8%99.png,pressed,
46,chat,คุณ,คุณ! นักวิทยาศาสตร์คนนั้นนี่ คุณร่วมมือกับพวกกบฎงั้นเหรอ!,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
47,info,,ทันใดนั้น มีเสียงคนกำลังเดินเข้ามา คุณส่งสายตาหาเหนือว่าช่วยด้วย เเต่สายตาของเขาเหมือนจะบอกว่า ใจเย็นๆก่อน พวกคุณทั้งสองส่งภาษาสายตากันอย่างดุเดือด,,,delay,
48,chat,นักวิทย์เถื่อน,มีคนกำลังมา ไปกันได้เเล้ว,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C1.png,delay,0
49,info,,พวกเขาเปิดใช้เครื่อง TMC เเต่กลับไม่ได้ผล เกิดความขัดข้องขึ้น,,,delay,
50,chat,นักวิทย์เถื่อน,ห๊ะ! ทำไมไม่มีอะไรเกิดขึ้น?,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B9%8C1.png,delay,0
51,info,,เสียงจากด้านนอกเข้ามาใกล้มากขึ้นทุกที พวกเขาคว้าลูกบอลสีเทาออกมาและโยนไปข้างหน้า พอควันพุ่งออกมา พวกเขาก็หายไป,,,pressed,
52,chat,คุณ,แคก! แคก! จบจากฮอกวอตส์กันรึไง ฝุ่นนี่เล็กกว่า PM 2.5 อีกนะ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
53,chat,คุณ,พวกนั้นจะเข้ามาเเล้ว,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
54,chat,คุณ,ต้องขอความช่วยเหลือ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
55,info,,ชายฉกรรค์ 4 คนวิ่งเข้ามา พวกเขาไม่สนใจคุณ เเละรีบนำพระพุทธรูปที่ทำจากแก้วใส่กระสอบ,,,pressed,
56,chat,คุณ,เฮ้ย ๆ นั่นพระแก้วขาวนะ ทำอะไรน่ะ!,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
57,info,,เมื่อคุณพูดจบชายฉกรรค์ทั้ง 4 ก็หันมา และเริ่มเดินเข้ามาหาคุณ,,,pressed,
58,chat,คุณ,ฮะ ฮะ พี่ๆใจเย็นก่อน มานั่งคุยกันดี ๆ..,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
59,chat,คุณ,…ก็ได้นี่ครับ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
60,info,,มีภารกิจส่งมาจากหน่วย TS,,,delay,0
61,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/unnamed.jpg,,,delay,0
62,info,,วิหารเป็นส่วนหนึ่งของวัดเชียงมั่น ด้านในของวิหาร มีภาพจิตรกรรมฝาผนังเขียนสีทองบนพื้นเเดงบอกเล่าเรื่องราวการสร้างเมืองเเละวัดของพระญามังราย เวียงกุมกามเเละเมืองเชียงใหม่  มี 16 ภาพเเต่ละภาพจะมีคำบรรยายอยู่ด้านล่าง,,,delay,0
63,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/IMG_20200131_141730.jpg,,,delay,0
64,info,,เราอยากให้คุณหาข้อความที่อยู่ในภาพนี้ ว่าพระญามังรายประทับอยู่ที่ไหน? ก่อนเชิญพระญาร่วงเเละพระญางำเมือง มาช่วยเลือกชัยภูมิ  (วิธีการตอบ)  (ชื่อสถานที่),,,answered,เวียงเหล็ก
65,info,,"พระญามังรายพบกับฟานเผือกแม่ลูกกำลังต่อสู้กับฝูงหมาบริเวณลอมคา หรือป่าหญ้าคาแห่งหนึ่ง และหมาไม่อาจเอาชนะฟานสองตัวนั้นได้ พระญามังรายเห็นเป็นเรื่องดี จึงถือเอาตำแหน่งนี้สร้างเมืองขึ้นมาใหม่ขณะนั้นสามพระญากำลังควบคุมการสร้างเมืองนพบุรีศรีนครพิงค์ เชียงใหม่ ทั้งสามพระองค์ พักบริเวณป่าที่เจอกับฟานเผือกหรือที่เรียกว่า “เหล่าคาสวนขวัญ” โดยขนานนามที่ประทับแห่งนั้นใหม่ว่า “เวียงเหล็ก” แปลว่าสถานที่มั่นคงแข็งแรง ส่วนลอมคา จุดที่พบกับฟานเผือกนั้น โปรดให้สร้างเป็นหอนอนของพระญามังราย (สนใจอ่านต่อ) <a target=""_blank"" href=""https://www.matichonweekly.com/column/article_202402"">อ้างอิง</a>",,,delay,0
66,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/1%20-%20%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%82%E0%B8%88%E0%B8%A3.jpg,,,delay,0
67,info,,พวกเขาตัวใหญ่กว่าคุณตั้งสองเท่า เงาของพวกเขาสูงมิดหัวคุณเลย,,,pressed,
68,chat,คุณ,คือ.. พี่ๆช่วยเเก้มัดผมหน่อยได้ไหม..,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
69,chat,คุณ,...ครับ?,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
70,info,,พวกเขาจับคุณมัดข้อมือและปิดปากอย่างง่ายดาย แล้วโยนเข้าถุงกระสอบใบใหญ่,,,delay,0
71,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/82110285_2540683452832920_8415430835267698688_n.png,,,pressed,
72,chat,คุณ,ให้ตายเถอะ!,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
73,chat,คุณ,ที่เขาว่าคนไทยโบราณตัวใหญ่กำยำถือดาบอันยาวเท่าหอกได้เป็นเรื่องจริงสินะ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
74,chat,คุณ,เเล้วปัจจุบันยีนตัวใหญ่มันหายไปไหนหมดเนี่ย ไม่เห็นตกมาที่เราบ้างเลย,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
75,info,,เกวียนสั่นอย่างรุนแรง ถนนเบื้องล่างคงทุรกันดารมาก คุณกลิ้งไปมาในกระสอบ,,,pressed,
76,chat,คุณ,ปัจจุบันพระเเก้วขาวถูกเก็บรักษาไว้อย่างดี ใช้กรงเหล็กเพื่อป้องกันคนขโมยนี่เอง,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
77,chat,คุณ,เเต่จะว่าไป ก่อนหน้านี้ ทำไมเครื่องTMC ถึงไม่ทำงานนะ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
78,chat,คุณ,แถมยังถูกชิงไปอีก,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
79,chat,คุณ,โธ่เอ๊ย!,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
80,chat,คุณ,ซวยซ้ำซวยซ้อนจริงๆ ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
81,info,,ขณะที่คุณพูดคนเดียวอยู่นาน เกวียนก็หยุดเคลื่อน ด้านนอกมีเสียงคนคุยกัน แต่ว่าไม่ใช่ภาษาที่คุณฟังออก,,,pressed,
82,chat,คุณ,นี่เราขายออกเร็วขนาดนี้เลยเหรือ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
83,chat,คุณ,เเปลกจัง ทำไมอยู่ ๆ ถึงเงียบไป,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
84,chat,คุณ,หรือว่าเราจะโดนทิ้งแล้ว? ทำยังไงดี?,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
85,info,,คุณถูกมัดไว้แน่นมาก ดิ้นแค่ไหนก็ไม่หลุดสักที,,,delay,0
86,info,,คุณเห็นแสงลอดเข้ามาทางปากถุงที่กำลังเปิด แล้วคุณก็หมดสติไปด้วยความเหนื่อยล้า,,,delay,
87,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/1%20-%20%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%A1%E0%B8%B5%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%84%E0%B8%B8%E0%B8%93.jpg,,,delay,0
88,info,,รุ่งเช้าคุณตื่นขึ้นมา พบว่าตัวเองนอนอยู่บนแคร่ ด้านหน้ามีกระท่อมหลังเล็ก ๆ อยู่หลังหนึ่ง,,,pressed,
89,chat,คุณ,...มีคนช่วยเราไว้งั้นเหรอ?,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
90,chat,คุณ,หิวข้าวจัง เรายังไม่ได้กินอะไรตั้งแต่มาที่นี่เลย,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
91,chat,ผู้มีพระคุณ,ลุกไหนมา?,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,pressed,
92,chat,คุณ,ลุกๆ ภาษาอังกฤษ หมายถึงดูเหรอ?  เป็นไปไม่ได้,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
93,chat,คุณ,จริงสิ เรามีอุปกรณ์จากหน่วยนี่นา,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
94,chat,คุณ,สิริ เเปลภาษา,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
95,chat,ผู้มีพระคุณ,อะหยังน่ะ!?,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,pressed,
96,chat,คุณ,ลุงดูไม่ไว้ใจสิริ หลบ ๆ หน่อยละกัน ..สิริ เริ่มเเปลได้,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
97,chat,ผู้มีพระคุณ,ผมเป็นคนหริภุญไชย (คนลำพูน),left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
98,info,,ผู้มีพระคุณพูดจบ ก็เดินไปหยิบกระสอบที่ใส่พระแก้วขาวไว้ นำพระพุทธรูปออกมาอย่างระมัดระวัง แล้ววางไว้ที่ขอนไม้ใหญ่ เขากราบไหว้ด้วยความศรัทธา นัยตาปริ่มน้ำตา,,,delay,0
99,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/IMG_20200129_124309.jpg,,,pressed,
100,chat,คุณ,คุณรู้จักพระพุทธรูปองค์นี้นี่,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
101,chat,ผู้มีพระคุณ,ในตอนนั้น พระญามังรายอยากได้เมืองหริภุญไชย (ลำพูน) ไว้ในครอบครอง เพราะเป็นเมืองมั่งคั่ง เป็นศูนย์การค้าระหว่างประเทศ ธรรมชาติอุดมสมบูรณ์ ทั้งยังมีทางน้ำติดต่อถึงเมืองละโว้ และเมืองอโยธยาด้วย,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
102,chat,ผู้มีพระคุณ,เเต่พวกเราชาวหริภุญไชย มีกำลังเข้มแข็งกว่าพระญามังรายมาก,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
103,chat,ผู้มีพระคุณ,พระญามังรายจึงให้ขุนฟ้าอ้ายราชวัลลภ คนสนิทปลอมตัวเป็นไส้ศึกเข้าไปในราชสำนักหริภุญไชย,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
104,chat,ผู้มีพระคุณ,ตอนนั้น เมืองหริภุญไชยมีพระญาญี่บาเป็นกษัตริย์ อ้ายฟ้าจึงทำให้ชาวหริภุญไชยไม่พอใจพระญาญี่บา นำทหารไปขุดเหมืองในฤดูร้อนเพื่อถ่ายแม่น้ำปิงมาสู่แม่น้ำกวง เป็นระยะทางสามสิบหกกิโลเมตร,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
105,chat,ผู้มีพระคุณ,อ้ายฟ้าดำเนินแผนต่อ โดยตัดไม้ซุงลากผ่านที่นาของชาวบ้านในหน้านา ทำให้ข้าวเสียหายเป็นอันมาก โดยอ้ายฟ้าแจ้งประชาชนว่า พระญาญี่บาจะทรงสร้างพระราชวังใหม่ อ้ายฟ้าบ่อนทำลายเมืองหริภุญไชยอยู่นานเกือบเจ็ดปี ชาวหริภุญไชยจึงเอาใจออกห่างพระญาญี่บาเต็มที่,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,pressed,
106,chat,คุณ,(ถูกใส่ร้ายสินะ...),right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
107,chat,ผู้มีพระคุณ,ขุนอ้ายฟ้าเมื่อเห็นโอกาส เลยส่งข่าวไปให้พระญามังรายยกทัพมาตีเมืองหริภุญไชย,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
108,chat,ผู้มีพระคุณ,พระญามังรายก็กรีธาทัพมายึดเมือง ด้วยขบวนทัพ “12 แสนนายทหาร”,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
109,chat,ผู้มีพระคุณ,ชาวเมืองก็ให้ความร่วมมือแก่พระองค์เป็นอย่างดี จึงทรงได้เมืองไปโดยง่าย,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
110,chat,ผู้มีพระคุณ,เเต่พระญามังรายก็ยังทรงสั่งให้ทหารเผาเมือง,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
111,chat,ผู้มีพระคุณ,(ลำพูนเป็นเมืองราชธานีที่รับอารยธรรมแบบอินเดีย-ทวารวดีมาเต็มๆ เจริญรุ่งเรืองถึงขีดสุดทั้งทางโลกและทางธรรมมาก่อนเมืองแถบลุ่มน้ำกกหลายศตวรรษเเล้ว),left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
112,chat,ผู้มีพระคุณ,"หรือเพราะพระญามังรายฟังคำของพ่อค้าวาณิชที่เดินทางขึ้น-ล่องค้าขายแถบลุ่มแม่ปิง ล้วนกลับมาเล่าเป็นเสียงเดียวกันว่า “คนเมืองหริภุญไชยร่ำรวยนัก ผู้คนใส่คำ (ทอง) ใส่เงิน มีวัดวาอารามมากกว่า 2,000 แห่ง”",left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
113,chat,คุณ,(ลุงนี้ไปกันใหญ่ละ),right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
114,chat,ผู้มีพระคุณ,อย่าได้มาเทียบกับเมืองเงินยางเลย ผู้คนขณะนั้นยังนับถือผีปู่จ้าวลาวจกกันอยู่!,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
115,chat,ผู้มีพระคุณ,อีกอย่าง ข่าวมองโกลรุกฆาต พิชิตเมืองโน้นกระหนาบเมืองนี้จนพินาศ ล้วนแต่เป็นเมืองใหญ่ๆ ทั้งสิ้น เช่น พุกาม จามปา อังกอร์,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
116,chat,ผู้มีพระคุณ,หากไม่เรียกว่านี่คือสถานการณ์ฉุกเฉินถึงขั้น “ไฟจี้ก้น” เมืองเงินยางให้ต้องรีบหาทางถอยห่างจากมองโกลลงไปทางใต้,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,delay,
117,chat,ผู้มีพระคุณ,เพราะมีเขตแดนประชิดรัฐฉานและสิบสองปันนาใกล้จีนเหลือเกิน ก็ไม่รู้ว่าจะให้พระองค์นั่งนอนใจอย่างไรไหวแล้ว,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%8A%E0%B8%B2%E0%B8%A2.png,pressed,
118,chat,คุณ,(ทำไมพระองค์ต้องเผาด้วยนะ ในเมื่อเดินเข้าเมืองก็ได้เเล้ว),right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
119,chat,คุณ,(ไม่สิ ถ้าพระองค์ไม่เผาถึงจะเเปลก),right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
120,chat,คุณ,(พอเข้าใจได้ ว่าทำไมถึงเผา ข้อเเรก เพื่อลบคำดูถูกจากพ่อค้าวาณิช),right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
121,chat,คุณ,ข้อสอง เพื่อขยายอำนาจ ประกาศให้ชาวมองโกลที่กำลังตีเมืองขยายอำนาจเหมือนกัน ว่าบริเวณนี้เป็นอาณาเขตของพระองค์,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
122,chat,คุณ,(ถ้าไม่เผาเเสดงว่าไม่ได้คิดการใหญ่จริง),right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
123,chat,คุณ,(ถ้าตีเมืองลำพูนเเต่ไม่เผา ก็เท่ากับว่าต้องการนั่งบัลลังก์เป็นกษัตริย์ลำดับที่ 51 ของหริภุญไชย แต่ถ้าเผาเพื่อเเสดงความยิ่งใหญ่ให้ทุกหัวเมืองรอบ ๆ ต้องยำเกรง ว่านครเงินยางจะเป็นใหญ่ในล้านนา ไม่ดีกว่าเหรอ),right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,0
124,info,,มีภารกิจส่งมาจากหน่วย TS,,,delay,0
125,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/unnamed.jpg,,,delay,0
126,info,,วิหารเป็นส่วนหนึ่งของวัดเชียงมั่น ด้านในของวิหาร มีภาพจิตรกรรมฝาผนังเขียนสีทองบนพื้นเเดงบอกเล่าเรื่องราวการสร้างเมืองเเละวัดของพระญามังราย เวียงกุมกามเเละเมืองเชียงใหม่  มี 16 ภาพเเต่ละภาพจะมีคำบรรยายอยู่ด้านล่าง,,,delay,0
